ubigeo,population_weighted_mean_t_min,total_population,n_demand_points,pct_population_unroutable
080101,4.759495231893254,96638.74439461881,89.0,0.0
080102,26.368709686785547,510.4545454545454,6.0,0.0
080103,8.465222903447962,785.8064516129032,1.0,0.0
080104,5.496067646048623,40932.57575757576,62.0,0.0
080105,4.660395275394275,107177.14285714287,71.0,0.0
080106,6.103712739870269,91331.08433734944,71.0,0.0
080107,5.895709058520627,2196.0,9.0,0.0
080108,1.4057972780906582,58540.99999999999,34.0,0.0
080201,75.08750652859625,1075.3898305084747,13.0,0.0
080202,43.82868270349648,1272.0,3.0,0.0
080203,83.68651390518099,138.39506172839504,5.0,0.0
080204,34.63086989222842,388.90322580645164,2.0,0.0
080205,78.16569476842612,1168.5405405405406,24.0,0.0
080206,57.83298542438298,237.30612244897958,3.0,0.0
080207,51.97633009918017,441.0,7.0,0.0
080301,21.912174946374524,9614.78195488722,30.0,0.0
080302,35.08599996455718,2158.545454545455,12.0,0.0
080303,10.796183802448695,623.8571428571428,2.0,0.0
080304,64.20545520375164,206.46153846153848,10.0,0.0
080305,39.07955111952907,321.23622047244095,9.0,0.0
080306,63.96308615624213,1160.7999999999997,19.0,0.0
080307,79.2380803289073,330.9574468085107,6.0,0.0
080308,17.75632558136752,404.0540540540541,5.0,0.0
080309,33.109139700645336,1200.3478260869563,7.0,0.0
080401,48.214004078336984,7128.0,37.0,0.0
080402,34.52806729220449,932.4791666666667,4.0,0.0
080403,48.42648265142096,487.0249999999999,11.0,0.0
080404,104.068220298195,1169.308943089431,16.0,0.0
080405,35.40446553668052,3674.8205128205127,20.0,0.0
080406,38.96957464837256,413.0526315789474,6.0,0.0
080407,25.053764602944472,1893.0731707317075,9.0,0.0
080408,111.61156390644182,830.1260504201683,14.0,0.0
080501,48.75253372990126,2301.7594936708856,13.0,0.0
080502,52.31080796149195,212.12765957446808,10.0,0.0
080503,38.38788354813783,287.6969696969697,10.0,0.0
080504,25.747080094772283,111.77464788732395,4.0,0.0
080505,53.68486517175979,677.154761904762,13.0,0.0
080506,33.2645033844383,919.0000000000001,4.0,0.0
080507,73.94214713561885,634.3384615384617,7.0,0.0
080508,59.65292392677772,207.36986301369865,6.0,0.0
080601,27.686638194766772,16806.317399617586,123.0,0.0
080602,56.33487805778201,437.037037037037,11.0,0.0
080603,36.99689815680602,853.3953488372096,7.0,0.0
080604,22.895311865603098,1892.9577464788736,19.0,0.0
080605,78.58900304893265,350.8256880733945,16.0,0.0
080606,29.008635726143012,490.5290322580645,9.0,0.0
080607,16.33203148560506,990.2162162162165,5.0,0.0
080608,25.04829042904493,1837.519230769231,10.0,0.0
080701,32.986211361241146,2760.2345276872966,49.0,0.0
080702,86.01804552860982,584.7731092436975,9.0,0.0
080703,62.92521541326424,287.3807531380753,11.0,0.0
080704,47.008073713390615,1034.5500000000002,18.0,0.0
080705,93.75519797782525,1167.1306990881458,37.0,0.0
080706,43.179833739692064,222.57324840764332,8.0,0.0
080707,35.02104815311991,434.0636942675159,9.0,0.0
080708,48.65600365461361,951.794952681388,24.0,0.0
080801,13.989504106010948,7402.582716049384,57.0,0.0
080802,84.50359964850901,9.49090909090909,3.0,0.0
080803,36.53909973984498,317.5572916666667,19.0,0.0
080804,52.531778848272396,14.087557603686635,3.0,0.0
080805,49.278961723006816,39.42506811989101,3.0,0.0
080806,18.30669957636392,285.859872611465,7.0,0.0
080807,43.61483181936271,15.95145631067961,2.0,0.0
080808,27.841995722995623,58.6060606060606,5.0,0.0
080901,7.949434770281919,14423.72727272727,39.0,0.0
080902,87.9388226218166,3630.9076923076927,52.0,0.0
080903,29.553372954448065,990.6226415094338,13.0,0.0
