province,population_weighted_mean_t_min,total_population,n_demand_points,pct_population_unroutable
ACOMAYO,61.32195617052859,4721.534781032841,57.0,0.0
ALTO AMAZONAS,2.2758889416456234,79650.89125737821,225.0,0.0
ANTA,29.10861251379213,16021.041638173318,100.0,0.0
CALCA,48.85202961827755,16527.885475307434,117.0,0.0
CANAS,49.228520036599846,5351.22185728657,67.0,0.0
CANCHIS,28.270383032271518,23658.797699287617,200.0,0.0
CHICLAYO,8.841650228916201,786824.9319562211,716.0,0.07085756657631274
CHUMBIVILCAS,52.21545399753292,7442.500984513762,165.0,0.0
CUSCO,4.665065209621588,398112.8083437543,343.0,0.0
DATEM DEL MARAÑON,29.62115595589776,13527.551285509277,116.0,0.0
ESPINAR,15.49778866454509,8143.560932058742,99.0,0.0
FERREÑAFE,52.07212907480021,80994.05434572743,308.0,0.0
LA CONVENCION,33.05231433693063,38939.95562328842,247.0,0.0
LAMBAYEQUE,34.41730092365504,268115.6640850445,810.0,0.0
LORETO,24.77961454770233,27651.349745930806,140.0,0.0
MARISCAL RAMON CASTILLA,2.8596855403270274,19975.086032668885,128.0,0.0
MAYNAS,14.064182744354984,414558.9804442638,490.0,0.0
PARURO,84.5623614100508,3047.349583834944,63.0,0.0
PAUCARTAMBO,85.51771179477745,7095.885763288768,85.0,0.0
QUISPICANCHI,40.0535367143209,20781.295549249666,187.0,0.0
REQUENA,0.39604382368751906,32201.51135753307,125.0,0.0
UCAYALI,0.10962046753332011,27339.578693623465,118.0,0.0
URUBAMBA,41.42944050229135,23702.594857656433,94.0,0.0
