ubigeo,population_weighted_mean_t_min,total_population,n_demand_points,pct_population_unroutable,department,province
081106,194.7374229973622,260.9185185185185,8.0,0.0,CUSCO,PAUCARTAMBO
140202,183.176198037449,7488.188235294119,47.0,0.0,LAMBAYEQUE,FERREÑAFE
081203,177.06672115258408,363.1090909090909,9.0,0.0,CUSCO,QUISPICANCHI
140203,159.01565381904211,7258.95238095238,68.0,0.0,LAMBAYEQUE,FERREÑAFE
081209,141.8840323426247,181.98591549295782,12.0,0.0,CUSCO,QUISPICANCHI
081103,125.50770814905255,749.6,20.0,0.0,CUSCO,PAUCARTAMBO
081003,115.57591202384533,294.7978723404255,9.0,0.0,CUSCO,PARURO
080408,111.61156390644182,830.1260504201683,14.0,0.0,CUSCO,CALCA
081002,106.83527924586252,559.5217391304348,8.0,0.0,CUSCO,PARURO
081006,106.65347492701835,725.7333333333332,14.0,0.0,CUSCO,PARURO
080404,104.068220298195,1169.308943089431,16.0,0.0,CUSCO,CALCA
080905,102.59389732675379,790.5096153846155,10.0,0.0,CUSCO,LA CONVENCION
081204,99.7165962911757,95.43333333333334,4.0,0.0,CUSCO,QUISPICANCHI
081101,99.19344726282789,2826.4285714285716,21.0,0.0,CUSCO,PAUCARTAMBO
140308,98.34063520825644,37328.06060606059,203.0,0.0,LAMBAYEQUE,LAMBAYEQUE
140310,97.81163920179917,5190.247252747253,66.0,0.0,LAMBAYEQUE,LAMBAYEQUE
081008,97.78460120213148,109.92857142857142,3.0,0.0,CUSCO,PARURO
080705,93.75519797782525,1167.1306990881458,37.0,0.0,CUSCO,CHUMBIVILCAS
081004,88.78162809366079,17.833333333333332,1.0,0.0,CUSCO,PARURO
080902,87.9388226218166,3630.9076923076927,52.0,0.0,CUSCO,LA CONVENCION
