rank,facility_id,marginal_population_gained,cumulative_population_covered,cumulative_gain_over_baseline,department,facility_name,category,district,institution
1,31599,42714.53681308208,1102121.7492355725,42714.53681308217,Lambayeque,CALIDAD Y SALUD,I-3,OLMOS,PRIVADO
2,8851,8064.942903315171,1110186.6921388877,50779.479716397356,Lambayeque,INKAWASI,I-3,INCAHUASI,GOBIERNO REGIONAL
3,4123,6870.097308488613,1117056.7894473763,57649.57702488592,Lambayeque,OYOTUN,I-3,OYOTUN,GOBIERNO REGIONAL
4,4419,4412.682352941176,1121469.4718003175,62062.25937782717,Lambayeque,KAÑARIS,I-3,CAÑARIS,GOBIERNO REGIONAL
5,23970,3332.4140910885276,1124801.885891406,65394.673468915746,Lambayeque,CENTRO DE SALUD ILLIMO,I-3,ILLIMO,GOBIERNO REGIONAL
1,2631,4608.363559090832,546033.7480295774,4608.363559090882,Cusco,PAUCARTAMBO,I-4,PAUCARTAMBO,GOBIERNO REGIONAL
2,32486,3549.3926187123543,549583.1406482898,8157.756177803269,Cusco,CHECACUPE,I-3,CHECACUPE,GOBIERNO REGIONAL
3,2264,2716.296427985605,552299.4370762755,10874.052605788922,Cusco,CALCA,I-4,CALCA,GOBIERNO REGIONAL
4,2407,2462.807193841784,554762.2442701173,13336.859799630707,Cusco,PUTUCUSI,I-3,YANATILE,GOBIERNO REGIONAL
5,17292,1862.3732202366693,556624.6174903539,15199.23301986733,Cusco,LIVITACA,I-4,LIVITACA,GOBIERNO REGIONAL
1,2125,18942.37324829977,614904.9488169076,18942.373248299817,Loreto,CENTRO DE SALUD I-3 INTUTO,I-3,TIGRE,GOBIERNO REGIONAL
