departamento,provincia,distrito,poblacion_2017,ubigeo
Cusco,Cusco,Cusco,114630,080101
Cusco,Cusco,Ccorca,2246,080102
Cusco,Cusco,Poroy,2436,080103
Cusco,Cusco,San Jerónimo,57075,080104
Cusco,Cusco,San Sebastián,112536,080105
Cusco,Cusco,Santiago,94756,080106
Cusco,Cusco,Saylla,5368,080107
Cusco,Cusco,Wanchaq,58541,080108
Cusco,Acomayo,Acomayo,4532,080201
Cusco,Acomayo,Acopía,2650,080202
Cusco,Acomayo,Acos,2242,080203
Cusco,Acomayo,Mosoc Llacta,1096,080204
Cusco,Acomayo,Pomacanchi,7206,080205
Cusco,Acomayo,Rondocan,1938,080206
Cusco,Acomayo,Sangarará,3276,080207
Cusco,Anta,Anta,21674,080301
Cusco,Anta,Ancahuasi,6784,080302
Cusco,Anta,Cachimayo,2382,080303
Cusco,Anta,Chinchaypujio,4026,080304
Cusco,Anta,Huarocondo,4533,080305
Cusco,Anta,Limatambo,7255,080306
Cusco,Anta,Mollepata,3111,080307
Cusco,Anta,Pucyura,2990,080308
Cusco,Anta,Zurite,3451,080309
Cusco,Calca,Calca,20628,080401
Cusco,Calca,Coya,3443,080402
Cusco,Calca,Lamay,5313,080403
Cusco,Calca,Lares,5753,080404
Cusco,Calca,Písac,9884,080405
Cusco,Calca,San Salvador,5232,080406
Cusco,Calca,Taray,4312,080407
Cusco,Calca,Yanatile,8590,080408
Cusco,Canas,Yanaoca,8659,080501
Cusco,Canas,Checca,4985,080502
Cusco,Canas,Kunturkanki,4747,080503
Cusco,Canas,Langui,1984,080504
Cusco,Canas,Layo,5171,080505
Cusco,Canas,Pampamarca,1838,080506
Cusco,Canas,Quehue,2577,080507
Cusco,Canas,Túpac Amaru,2523,080508
Cusco,Canchis,Sicuani,57827,080601
Cusco,Canchis,Checacupe,4720,080602
Cusco,Canchis,Combapata,4587,080603
Cusco,Canchis,Marangani,9600,080604
Cusco,Canchis,Pitumarca,7170,080605
Cusco,Canchis,San Pablo,4224,080606
Cusco,Canchis,San Pedro,2617,080607
Cusco,Canchis,Tinta,5029,080608
Cusco,Chumbivilcas,Santo Tomás,21728,080701
Cusco,Chumbivilcas,Capacmarca,3866,080702
Cusco,Chumbivilcas,Chamaca,6244,080703
Cusco,Chumbivilcas,Colquemarca,6897,080704
Cusco,Chumbivilcas,Livitaca,10378,080705
Cusco,Chumbivilcas,Llusco,4368,080706
Cusco,Chumbivilcas,Quiñota,3786,080707
Cusco,Chumbivilcas,Velille,9143,080708
Cusco,Espinar,Espinar,34861,080801
Cusco,Espinar,Condoroma,870,080802
Cusco,Espinar,Coporaque,9627,080803
Cusco,Espinar,Ocoruro,1019,080804
Cusco,Espinar,Pallpata,4823,080805
Cusco,Espinar,Pichigua,2805,080806
Cusco,Espinar,Suyckutambo,1643,080807
Cusco,Espinar,Alto Pichigua,1934,080808
Cusco,La Convención,Santa Ana,27999,080901
Cusco,La Convención,Echarate,23214,080902
Cusco,La Convención,Huayopata,4773,080903
Cusco,La Convención,Maranura,4134,080904
Cusco,La Convención,Ocobamba,4327,080905
Cusco,La Convención,Quelloúno,13311,080906
Cusco,La Convención,Kimbiri,15962,080907
Cusco,La Convención,Santa Teresa,5972,080908
Cusco,La Convención,Vilcabamba,9557,080909
Cusco,La Convención,Pichari,22691,080910
Cusco,La Convención,Inkawasi,4285,
Cusco,La Convención,Villa Virgen,1980,
Cusco,La Convención,Villa Kintiarina,1974,
Cusco,La Convención,Megantoni,6969,
Cusco,Paruro,Paruro,3205,081001
Cusco,Paruro,Accha,3028,081002
Cusco,Paruro,Ccapi,3079,081003
Cusco,Paruro,Colcha,963,081004
Cusco,Paruro,Huanoquite,4867,081005
Cusco,Paruro,Omacha,5443,081006
Cusco,Paruro,Paccaritambo,2032,081007
Cusco,Paruro,Pillpinto,1026,081008
Cusco,Paruro,Yaurisque,1924,081009
Cusco,Paucartambo,Paucartambo,11871,081101
Cusco,Paucartambo,Caicay,2716,081102
Cusco,Paucartambo,Challabamba,8433,081103
Cusco,Paucartambo,Colquepata,8170,081104
Cusco,Paucartambo,Huancarani,6911,081105
Cusco,Paucartambo,Kosñipata,4403,081106
Cusco,Quispicanchi,Urcos,10614,081201
Cusco,Quispicanchi,Andahuaylillas,5797,081202
Cusco,Quispicanchi,Camanti,2219,081203
Cusco,Quispicanchi,Ccarhuayo,2863,081204
Cusco,Quispicanchi,Ccatca,13295,081205
Cusco,Quispicanchi,Cusipata,4221,081206
Cusco,Quispicanchi,Huaro,4505,081207
Cusco,Quispicanchi,Lucre,4606,081208
Cusco,Quispicanchi,Marcapata,4307,081209
Cusco,Quispicanchi,Ocongate,15223,081210
Cusco,Quispicanchi,Oropesa,9444,081211
Cusco,Quispicanchi,Quiquijana,10336,081212
Cusco,Urubamba,Urubamba,20082,081301
Cusco,Urubamba,Chinchero,10477,081302
Cusco,Urubamba,Huayllabamba,5499,081303
Cusco,Urubamba,Machupicchu,5347,081304
Cusco,Urubamba,Maras,5946,081305
Cusco,Urubamba,Ollantaytambo,10165,081306
Cusco,Urubamba,Yucay,3223,081307
