departamento,provincia,distrito,poblacion_2017,ubigeo
Lambayeque,Chiclayo,Chiclayo,270496,140101
Lambayeque,Chiclayo,Chongoyape,18364,140102
Lambayeque,Chiclayo,Éten,11993,140103
Lambayeque,Chiclayo,Éten Puerto,2342,140104
Lambayeque,Chiclayo,José Leonardo Ortíz,156498,140105
Lambayeque,Chiclayo,La Victoria,90912,140106
Lambayeque,Chiclayo,Lagunas,9986,140107
Lambayeque,Chiclayo,Monsefú,32225,140108
Lambayeque,Chiclayo,Nueva Arica,2458,140109
Lambayeque,Chiclayo,Oyotún,8201,140110
Lambayeque,Chiclayo,Picsi,12704,140111
Lambayeque,Chiclayo,Pimentel,44602,140112
Lambayeque,Chiclayo,Reque,15744,140113
Lambayeque,Chiclayo,Santa Rosa,12350,140114
Lambayeque,Chiclayo,Saña,11617,140115
Lambayeque,Chiclayo,Cayaltí,14809,140116
Lambayeque,Chiclayo,Pátapo,22624,140117
Lambayeque,Chiclayo,Pomalca,25267,140118
Lambayeque,Chiclayo,Pucalá,8701,140119
Lambayeque,Chiclayo,Tumán,27782,140120
Lambayeque,Ferreñafe,Ferreñafe,34229,140201
Lambayeque,Ferreñafe,Cañaris,11366,140202
Lambayeque,Ferreñafe,Incahuasi,13858,140203
Lambayeque,Ferreñafe,Manuel Antonio Mesones Muro,3808,140204
Lambayeque,Ferreñafe,Pítipo,19651,140205
Lambayeque,Ferreñafe,Pueblo Nuevo,14503,140206
Lambayeque,Lambayeque,Lambayeque,71425,140301
Lambayeque,Lambayeque,Chóchope,1407,140302
Lambayeque,Lambayeque,Íllimo,8856,140303
Lambayeque,Lambayeque,Jayanca,17204,140304
Lambayeque,Lambayeque,Mochumí,18401,140305
Lambayeque,Lambayeque,Mórrope,48209,140306
Lambayeque,Lambayeque,Motupe,29836,140307
Lambayeque,Lambayeque,Olmos,46484,140308
Lambayeque,Lambayeque,Pacora,8060,140309
Lambayeque,Lambayeque,Salas,12595,140310
Lambayeque,Lambayeque,San José,15846,140311
Lambayeque,Lambayeque,Túcume,21847,140312
