departamento,provincia,distrito,poblacion_2017,ubigeo
Loreto,Maynas,Iquitos,146853,160101
Loreto,Maynas,Alto Nanay,2855,160102
Loreto,Maynas,Fernando Lores,13875,160103
Loreto,Maynas,Indiana,10134,160104
Loreto,Maynas,Las Amazonas,8032,160105
Loreto,Maynas,Mazán,12181,160106
Loreto,Maynas,Napo,15003,160107
Loreto,Maynas,Punchana,75210,160108
Loreto,Maynas,Torres Causana,4230,160110
Loreto,Maynas,Belén,64488,160112
Loreto,Maynas,San Juan Bautista,127005,160113
Loreto,Alto Amazonas,Yurimaguas,83554,160201
Loreto,Alto Amazonas,Balsapuerto,13707,160202
Loreto,Alto Amazonas,Jeberos,3900,160205
Loreto,Alto Amazonas,Lagunas,12033,160206
Loreto,Alto Amazonas,Santa Cruz,3967,160210
Loreto,Alto Amazonas,Teniente César López Rojas,5564,160211
Loreto,Loreto,Nauta,29963,160301
Loreto,Loreto,Parinari,6085,160302
Loreto,Loreto,Tigre,6448,160303
Loreto,Loreto,Trompeteros,8396,160304
Loreto,Loreto,Urarinas,11545,160305
Loreto,Mariscal Ramón Castilla,Ramón Castilla,19178,160401
Loreto,Mariscal Ramón Castilla,Pebas,11079,160402
Loreto,Mariscal Ramón Castilla,Yavarí,8366,160403
Loreto,Mariscal Ramón Castilla,San Pablo,10449,160404
Loreto,Requena,Requena,25313,160501
Loreto,Requena,Alto Tapiche,1515,160502
Loreto,Requena,Capelo,2566,160503
Loreto,Requena,Emilio San Martín,6089,160504
Loreto,Requena,Maquía,7304,160505
Loreto,Requena,Puinahua,4372,160506
Loreto,Requena,Saquena,3365,160507
Loreto,Requena,Soplín,569,160508
Loreto,Requena,Tapiche,881,160509
Loreto,Requena,Jenaro Herrera,4608,160510
Loreto,Requena,Yaquerana,1929,160511
Loreto,Ucayali,Contamana,23883,160601
Loreto,Ucayali,Inahuaya,1738,160602
Loreto,Ucayali,Padre Márquez,3697,160603
Loreto,Ucayali,Pampa Hermosa,5388,160604
Loreto,Ucayali,Sarayacu,13464,160605
Loreto,Ucayali,Vargas Guerra,6467,160606
Loreto,Datem del Marañón,Barranca,12742,160701
Loreto,Datem del Marañón,Cahuapanas,6336,160702
Loreto,Datem del Marañón,Manseriche,8421,160703
Loreto,Datem del Marañón,Morona,4191,160704
Loreto,Datem del Marañón,Pastaza,5078,160705
Loreto,Datem del Marañón,Andoas,11714,160706
Loreto,Putumayo,Putumayo,3666,160109
Loreto,Putumayo,Rosa Panduro,520,
Loreto,Putumayo,Teniente Manuel Clavero,2317,160114
Loreto,Putumayo,Yaguas,1277,
